"Name","Team","Pos","Injury / Surgery Date","Injury / Surgery","Status","IL Retro Date","Eligible to Return","Return Date","Latest Update"
"Walker Buehler","LAD","SP","08/23/22","Tommy John surgery","Activated","03/17/24","04/07/24","05/06/24","Activated"
"Shane Baz","TBR","SP","09/28/22","Tommy John surgery","Activated","03/25/24","04/09/24","05/23/24","Activated"
"Lucas Gilbreath","COL","RP","03/14/23","Tommy John surgery","Activated","03/25/24","05/24/24","08/16/24","Activated"
"Cade Cavalli","WSN","SP","03/22/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Matt Foster","CHW","RP","Apr '23","Tommy John surgery","Activated","03/28/24","05/27/24","08/16/24","Activated"
"JT Brubaker","NYY","SP","04/12/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Jeffrey Springs","TBR","SP","04/24/23","Tommy John surgery","Activated","03/28/24","05/27/24","07/28/24","Activated"
"Kris Bubic","KCR","SP","04/26/23","Tommy John surgery","Activated","03/28/24","05/27/24","07/06/24","Activated"
"Lou Trivino","NYY","RP","05/03/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Robbie Ray","SFG","SP","05/03/23","Tommy John surgery","Activated","03/28/24","05/27/24","07/24/24","Activated"
"Germán Márquez","COL","SP","05/12/23","Tommy John surgery","Activated","03/28/24","05/27/24","07/14/24","Activated"
"José Quijada","LAA","RP","05/17/23","Tommy John surgery","Activated","03/28/24","05/27/24","07/22/24","Activated"
"Austin Warren","SFG","RP","05/17/23","Tommy John surgery","Activated","03/28/24","05/27/24","07/13/24","Activated"
"Luis Garcia","HOU","SP","05/19/23","Tommy John surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Tyler Mahle","TEX","SP","05/22/23","Tommy John surgery","Activated","03/28/24","05/27/24","08/06/24","Activated"
"Jacob deGrom","TEX","SP","06/12/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/13/24","Activated"
"Matthew Boyd","CLE","SP","06/28/23","Tommy John surgery","Activated","06/29/24","07/14/24","08/13/24","Activated"
"Dustin May","LAD","SP","07/18/23","Tommy John revision surgery","Activated","03/20/24","05/19/24","09/30/24","Activated"
"Antonio Senzatela","COL","SP","07/26/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/17/24","Activated"
"Liam Hendriks","BOS","RP","08/02/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Shane McClanahan","TBR","SP","08/21/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Tony Gonsolin","LAD","SP","09/01/23","Tommy John surgery","Activated","03/20/24","05/19/24","09/30/24","Activated"
"Jasson Domínguez","NYY","OF","09/20/23","Tommy John surgery","Activated","03/28/24","05/27/24","06/12/24","Activated"
"Drey Jameson","ARI","RP","09/27/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Angel Perdomo","ATL","RP","10/06/23","Tommy John surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Sandy Alcantara","MIA","SP","10/06/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Félix Bautista","BAL","RP","10/09/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Johan Oviedo","PIT","SP","12/06/23","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Jesse Scholtens","CHW","SP","03/01/24","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Mason Thompson","WSN","RP","03/01/24","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Jackson Kowar","SEA","RP","03/15/24","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Dauri Moreta","PIT","SP","03/21/24","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Trevor Gott","OAK","RP","04/03/24","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Eury Pérez","MIA","SP","04/08/24","Tommy John surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Chris Murphy","BOS","SP","04/10/24","Tommy John surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Shane Bieber","CLE","SP","04/12/24","Tommy John surgery","Activated","04/03/24","06/02/24","09/30/24","Activated"
"Robert Stephenson","LAA","RP","04/30/24","Tommy John surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Luis Patiño","SDP","RP","04/30/24","Tommy John surgery","Activated","03/17/24","05/22/24","09/30/24","Activated"
"Wade Miley","MIL","SP","05/07/24","Tommy John surgery","Activated","04/19/24","06/18/24","09/30/24","Activated"
"Matt Brash","SEA","RP","05/08/24","Tommy John surgery","Activated","03/25/24","05/24/24","09/30/24","Activated"
"Ken Waldichuk","OAK","SP","05/15/24","Tommy John surgery/ flexor tendon surgery","Activated","03/28/24","05/27/24","09/30/24","Activated"
"Emmet Sheehan","LAD","SP","05/16/24","Tommy John surgery","Activated","03/17/24","05/22/24","09/30/24","Activated"
"Brooks Raley","NYM","RP","05/29/24","Tommy John surgery (internal brace)","Activated","04/20/24","06/19/24","09/30/24","Activated"
"John Means","BAL","SP","06/03/24","Tommy John surgery","Activated","05/23/24","07/22/24","09/30/24","Activated"
